合成・深化（PHASE2 §2.8）: 合成無・深化無
シード数: 120　深度30クリア率: 86.7%　ソルバー行き詰まり: 0件
総手数: 平均 210.0 / 中央値 211
連鎖分布(全手): p50 2 / p80 4 / p95 8　無連鎖(連鎖≤1)の手: 46.2%　補充傾斜 REFILL_BIAS=1.6
特殊駒: 生成 2.944個/手　合体(コンボ) 平均 30.32回/ラン
遭難した層: 層4:1　層9:2　層10:2　層11:1　層12:1　層14:2　層18:1　層22:1　層26:1　層27:1　層29:1　層30:2　層31:1
遭難深度: 中央値 14（目標 20〜24）　深度25以上の遭難 6/120=5.0%（目標 35%以上）
採録が入れ替えになった割合: 層1:0%　層2:0%　層3:0%　層4:0%　層5:0%　層6:0%　層7:0%　層8:0%　層9:0%　層10:0%　層11:0%　層12:0%　層13:0%　層14:0%　層15:0%　層16:0%　層17:0%　層18:0%　層19:0%　層20:0%　層21:0%　層22:0%　層23:0%　層24:0%　層25:0%　層26:0%　層27:0%

--- 較正の合否（PHASE2.md §2.5① / §2）---
(a) 遭難深度の中央値 20〜24 : NG  14（遭難17件）
(b) 深度25以上の遭難 35%以上: NG  全120ラン中6件=5.0%
(c) 手数/層 各層6〜12       : NG  深度4=12.9 深度17=5.7 深度20=5.4 深度21=4.3 深度22=3.7 深度23=5.8 深度24=3.9 深度25=3.9 深度26=3.8 深度28=5.7 深度29=3.8 深度30=4.9 深度31=2.5
(d) 幕をまたいで灯が細る    : NG  深度20到達組(110件) 深度10 44.1 → 深度20 52.2 → 第三幕の最小 34.4
(e) stuck 0件               : OK  0件
(f) swarm伝播 ≦ build撃破   : OK  全層で成立
(g) 深度20以降に警告域(≦8)へ: NG  深度20到達110件中9件=8.2%
(h) 発火/手が深層で頭打ち   : NG  深度11-15平均 23.41 → 深度21-25平均 66.53（比 2.84）
(i) 後半の「採る」が入れ替え: NG  深度10以降に採った 0/1990=0.0%
(j) 後半の採録の行為の内訳  : 　 深度10以降1990回中 採る 100.0% / 合成 0.0% / 深化 0.0%
(参考) 深度30クリア率        : 86.7%　終幕(深度31)まで踏破 85.8%
(参考) 踏破時の残灯 中央値   : 37
(参考) 1ランの総手数 平均    : 210.0

  層 |    到達 |    クリア |     到達率% |      残酸素平均 |     補給前 |     手数 |    手数/層 |      発火/手平均 |     発火最大 |     連鎖平均 |     連鎖最大 |    連鎖p50 |    連鎖p80 |    連鎖p95 |     無連鎖% |     特殊/手 |      破壊/手平均 |     破壊最大 |    swarm伝播/手 |    build撃破/手
 19 |   110 |    110 |    100.0 |       59.5 |    51.9 |    865 |     7.9 |       28.61 |      226 |     2.27 |       18 |        1 |        4 |        7 |     52.6 |     2.74 |       17.90 |      141 |         0.00 |         0.25
 20 |   110 |    110 |    100.0 |       59.6 |    52.2 |    589 |     5.4 |       61.38 |      241 |     3.60 |       21 |        2 |        6 |       11 |     37.2 |     6.02 |       35.65 |      176 |         0.00 |         0.37
 21 |   110 |    110 |    100.0 |       56.8 |    55.3 |    469 |     4.3 |       45.81 |      222 |     2.97 |       14 |        2 |        6 |       10 |     49.5 |     4.25 |       24.14 |      143 |         0.07 |         0.63
 22 |   110 |    109 |     99.1 |       56.1 |    54.6 |    407 |     3.7 |       75.86 |      231 |     3.86 |       14 |        3 |        7 |       10 |     32.9 |     7.35 |       39.38 |      154 |         0.00 |         0.54
 23 |   109 |    109 |    100.0 |       52.9 |    51.4 |    634 |     5.8 |       63.16 |      239 |     3.24 |       18 |        2 |        6 |        9 |     42.6 |     6.23 |       31.22 |      131 |         0.04 |         0.47
 24 |   109 |    109 |    100.0 |       50.9 |    49.4 |    421 |     3.9 |       61.79 |      231 |     3.22 |       15 |        2 |        6 |        9 |     43.0 |     5.33 |       27.38 |      130 |         0.00 |         0.40
 25 |   109 |    109 |    100.0 |       49.6 |    48.1 |    426 |     3.9 |       86.02 |      239 |     3.68 |       15 |        3 |        7 |       10 |     37.1 |     8.03 |       39.19 |      135 |         0.00 |         0.51
 26 |   109 |    108 |     99.1 |       50.7 |    49.1 |    414 |     3.8 |       85.47 |      230 |     3.87 |       14 |        3 |        7 |       10 |     33.8 |     8.43 |       36.48 |      130 |         0.00 |         0.52
 27 |   108 |    107 |     99.1 |       48.5 |    46.9 |    785 |     7.3 |       60.33 |      262 |     2.94 |       13 |        2 |        5 |        8 |     38.3 |     5.67 |       27.52 |      125 |         0.00 |         0.27
 28 |   107 |    107 |    100.0 |       47.8 |    46.2 |    606 |     5.7 |       72.15 |      227 |     3.19 |       16 |        2 |        6 |       10 |     47.2 |     6.58 |       31.99 |      140 |         0.00 |         0.52
 29 |   107 |    106 |     99.1 |       47.0 |    45.4 |    407 |     3.8 |       78.77 |      237 |     3.40 |       15 |        2 |        6 |       10 |     41.5 |     7.78 |       35.23 |      138 |         0.00 |         0.47
 30 |   106 |    104 |     98.1 |       44.3 |    42.7 |    523 |     4.9 |       91.76 |      252 |     3.57 |       14 |        3 |        6 |        9 |     35.4 |     8.54 |       40.29 |      130 |         0.00 |         0.40
 31 |   104 |    103 |     99.0 |       45.0 |    44.0 |    256 |     2.5 |       85.20 |      226 |     3.93 |       13 |        3 |        7 |       11 |     39.5 |     7.67 |       36.09 |      128 |         0.00 |         0.40
