合成・深化（PHASE2 §2.8）: 合成無・深化無
シード数: 120　深度30クリア率: 9.2%　ソルバー行き詰まり: 0件
総手数: 平均 229.6 / 中央値 230
遭難した層: 層9:3　層10:3　層11:1　層12:1　層13:1　層14:3　層15:1　層17:2　層18:1　層19:3　層20:10　層21:3　層22:9　層23:13　層24:11　層25:18　層26:10　層27:13　層28:2　層30:1　層31:2
遭難深度: 中央値 24（目標 20〜24）　深度25以上の遭難 46/120=38.3%（目標 35%以上）
採録が入れ替えになった割合: 層1:0%　層2:0%　層3:0%　層4:0%　層5:0%　層6:0%　層7:10%　層8:100%　層9:100%　層10:100%　層11:100%　層12:100%　層13:100%　層14:100%　層15:100%　層16:100%　層17:100%　層18:100%　層19:100%　層20:100%　層21:100%　層22:100%　層23:100%　層24:100%　層25:100%　層26:100%　層27:100%　層28:100%　層29:100%　層30:100%

--- 較正の合否（PHASE2.md §2.5① / §2）---
(a) 遭難深度の中央値 20〜24 : OK  24（遭難111件）
(b) 深度25以上の遭難 35%以上: OK  全120ラン中46件=38.3%
(c) 手数/層 各層6〜12       : OK  全層が帯内
(d) 幕をまたいで灯が細る    : OK  深度20到達組(91件) 深度10 40.9 → 深度20 25.7 → 第三幕の最小 0.8
(e) stuck 0件               : OK  0件
(f) swarm伝播 ≦ build撃破   : OK  全層で成立
(g) 深度20以降に警告域(≦8)へ: OK  深度20到達101件中96件=95.0%
(h) 発火/手が深層で頭打ち   : OK  深度11-15平均 9.55 → 深度21-25平均 9.69（比 1.01）
(i) 後半の「採る」が入れ替え: OK  深度10以降に採った 1574/1574=100.0%
(j) 後半の採録の行為の内訳  : 　 深度10以降1574回中 採る 100.0% / 合成 0.0% / 深化 0.0%
(参考) 深度30クリア率        : 9.2%　終幕(深度31)まで踏破 7.5%
(参考) 踏破時の残灯 中央値   : 11
(参考) 1ランの総手数 平均    : 229.6

  層 |    到達 |    クリア |     到達率% |      残酸素平均 |     補給前 |     手数 |    手数/層 |      発火/手平均 |     発火最大 |     連鎖平均 |     連鎖最大 |    連鎖p80 |      破壊/手平均 |     破壊最大 |    swarm伝播/手 |    build撃破/手
  1 |   120 |    120 |    100.0 |       46.5 |    35.0 |   1168 |     9.7 |        0.59 |       10 |     1.59 |        8 |        2 |        8.12 |       66 |         0.00 |         0.00
  2 |   120 |    120 |    100.0 |       49.5 |    38.1 |   1029 |     8.6 |        1.37 |       19 |     1.56 |        9 |        2 |        7.84 |       59 |         0.08 |         0.51
  3 |   120 |    120 |    100.0 |       51.0 |    39.6 |   1221 |    10.2 |        2.58 |       32 |     1.68 |       11 |        3 |        9.57 |       63 |         0.04 |         0.14
  4 |   120 |    120 |    100.0 |       51.7 |    40.4 |   1328 |    11.1 |        3.82 |       52 |     1.77 |       12 |        3 |       10.94 |      115 |         0.04 |         0.20
  5 |   120 |    120 |    100.0 |       53.0 |    41.9 |   1242 |    10.3 |        4.83 |      116 |     1.85 |       18 |        3 |       10.91 |      113 |         0.00 |         0.10
  6 |   120 |    120 |    100.0 |       54.3 |    43.2 |   1212 |    10.1 |        4.98 |       77 |     1.70 |       13 |        2 |        9.03 |      108 |         0.00 |         0.06
  7 |   120 |    120 |    100.0 |       55.3 |    44.6 |   1227 |    10.2 |        6.69 |       94 |     1.89 |       14 |        3 |       12.18 |      116 |         0.00 |         0.10
  8 |   120 |    120 |    100.0 |       54.6 |    44.1 |   1424 |    11.9 |        8.69 |      118 |     1.93 |       13 |        3 |       14.03 |      117 |         0.04 |         0.20
  9 |   120 |    117 |     97.5 |       52.0 |    41.1 |   1244 |    10.4 |        8.15 |      101 |     1.85 |       13 |        3 |       11.60 |      107 |         0.00 |         0.17
 10 |   117 |    114 |     97.4 |       47.4 |    36.4 |   1211 |    10.4 |       10.69 |      131 |     2.07 |       16 |        3 |       14.72 |      107 |         0.00 |         0.09
